wallet,num_borrow,num_deposit,num_redeemunderlying,num_repay,total_borrow,total_deposit,total_redeemunderlying,total_repay,avg_tx_gap_sec,repay_borrow_ratio,total_transactions,activity_score,net_borrow,borrow_to_deposit_ratio,deposit_frequency,repay_frequency,repayment_efficiency,avg_repay_per_tx
0x02946828dba18fcb7cd09e9ebf891ceaa1bd7aa6,4,5,2,2,99550886434480.05,3.1041579823230496e+16,105973500002027.86,104883638329774.92,229622.0,1.0535681005593522,13,5.6614537742299335e-05,-5332751895294.875,0.0032070173941333826,2.1774822208576666e-05,0.14285714285714285,1.0535681005593416,34961212776591.64
0x02948cbed87c7ac0beb2488396a3886b9f656634,2,1,0,0,17122416592.493511,45659777579.9827,0.0,0.0,1275.5,0.0,3,0.0023501762632197414,17122416592.493511,0.37499999999178707,0.0007833920877399138,0.0,0.0,0.0
0x029540b12432897be480e69f38001b8e29ebd295,0,1,0,0,0.0,2009648179691.7104,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x029571abceddd08d74c97010eba66f0a7d13c087,1,1,0,0,4957435080.000016,32917368931.20011,0.0,0.0,0.0,0.0,2,2.0,4957435080.000016,0.15060240963397903,1.0,0.0,0.0,0.0
0x0295cb6cd98aa3f2a8ae832a1b9c6f2b8a7160df,3,12,6,4,94130.10029202793,1.3831367788356304e+17,3.134210676330147e+16,40840.21219705904,349267.8846153846,0.4338698468434319,27,7.730433825999828e-05,53289.88809496889,6.805552547830426e-13,3.435748367111034e-05,0.14285714285714285,0.43386523763515217,8168.042439411807
0x02961914072c1aaa8e0a3c8477874b311079b800,4,8,2,1,181.03470360274292,334503105102870.94,374.73530329524186,40.81110303957693,54101.86666666667,0.22543248464190369,16,0.00029573294329444033,140.223600563166,5.41204852334833e-13,0.00014786647164722016,0.058823529411764705,0.22419408075418198,20.405551519788464
0x029832df0ace2538cdfbbd4fa198667ef84e7f68,0,1,0,0,0.0,1.1084623716111102,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x0298b2ecdef68bc139b098461217a5b3161b69c8,0,0,1227,0,0.0,0.0,5.206102276875709e+18,0.0,1070.6207177814028,0.0,1227,1.1449946605551653,0.0,0.0,0.0,0.0,0.0,0.0
0x02996c1eaf1ea3de391ed7c748ca6c0762cd5f04,12,29,10,5,1603090740626794.0,1269896548414813.5,1365523165227421.5,1177687427872416.0,163277.43636363637,0.7346355374817716,56,0.0003429724172228276,425403312754378.0,1.2623790045164693,0.00017761071606182144,0.08771929824561403,0.734635537481771,196281237978736.0
0x0299cb22804ccda6eb64b5c891de04d9f526cccb,3,2,1,2,6973545885485.961,24643593083180.957,24643653016734.188,6973548648309.629,274160.85714285716,1.0000003961863466,8,2.9179843189606972e-05,-2762823.66796875,0.282976019850168,7.294960797401743e-06,0.2222222222222222,1.0000003961862034,2324516216103.2095
0x029a3d224e8c5daf8d5126f35502d7aecd23fb02,0,1,0,0,0.0,1010251772159.5027,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x029ac3b28fff4be7c9b8853210a15c45e733a0b3,0,2,0,0,0.0,6014486751043.486,0.0,0.0,41065.0,0.0,2,4.870208931963181e-05,0.0,0.0,4.870208931963181e-05,0.0,0.0,0.0
0x029b56845268708b6b05a90f761ebfe15151c738,9,18,6,8,244878899745885.78,1144414669740438.0,366012585235965.1,74877703134176.97,102427.58536585367,0.30577441834261176,42,0.00041004178521049286,170001196611708.8,0.21397742114003657,0.0001757321936616398,0.18604651162790697,0.30577441834261054,8319744792686.33
0x029b8b56a2b189b9485d32f60884ca1fa1cc3d6e,0,1,0,0,0.0,99013697.31292178,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x029bc12540dc84ed8282d36ebc268b5762a64346,0,1,0,0,0.0,265.81545594101067,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x029bcb2e9d1e503e747dea7d0a55ebc055f9b03b,3,8,2,3,6353.2408142235445,1.096522159129802e+16,1.0889883529607472e+16,6476.700655724957,77133.13333333333,1.0194325770282486,16,0.00020743086502127896,-123.45984150141248,5.79399217911425e-13,0.00010371543251063948,0.17647058823529413,1.019272143609555,1619.1751639312392
0x029c7afb648193e67014467bf18beb4cf395c879,0,1,0,0,0.0,144712175000520.94,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x029ce20ee686f00a1200b116086f90a682e30092,3,4,7,3,77510361177634.77,77511817728574.95,4371.284418812904,1301.429709545951,74448.6875,1.679039666146559e-11,17,0.00022834212702370308,77510361176333.33,0.9999812086597389,5.3727559299694844e-05,0.16666666666666666,1.6790396661465375e-11,325.35742738648776
0x029d4f3c7a8f23ad7316731f271d4e194538d88e,1,1,0,0,201507341264.57297,1492646388500.002,0.0,0.0,314.0,0.0,2,0.006349206349206349,201507341264.57297,0.13500005280348937,0.0031746031746031746,0.0,0.0,0.0
0x029d81af39e6969033906aa51ba0a2e5f055fd43,7,9,6,5,530.3697909160456,386140258054945.4,443189132175266.0,530.6401166584188,190243.46153846153,1.0005096929482094,27,0.0001419226598328143,-0.2703257423731884,1.3735159177331257e-12,4.730755327760477e-05,0.17857142857142858,0.9986268051550901,88.4400194430698
0x029de7a8c9511978c4795beccf60553d36318cfd,4,7,5,4,37331.799773558916,3.696631014023027e+16,881992561348432.5,38752.03817324863,268516.7368421053,1.0380436627300147,20,7.448297544590311e-05,-1420.2383996897115,1.0098871007666757e-12,2.6069041406066087e-05,0.19047619047619047,1.0380158575916638,7750.407634649726
0x029f19fc5a2425a4f04c3e1f6855af0afbcc3c93,38,61,39,22,760.6358477323947,1112361160263242.0,968133931988434.4,760.0003152045073,47651.90566037736,0.9991644720272097,160,0.003357612674037577,0.6355325278874489,6.838029543861352e-13,0.001280089831976826,0.13664596273291926,0.997852605634626,33.04349196541336
